index,class,xaiprob_initial,len_xai_initial,xaiprob_final,len_xai_final
3147,1,0.02,7,0.09,4
13751,1,0.2,4,0.26,5
30097,1,0.2,4,0.26,5
27163,1,0.71,4,1.61,5
19408,1,0.83,3,1.71,4
45314,1,0.34,3,0.97,4
45001,1,0.23,4,0.33,5
23238,1,0.44,5,0.93,6
5646,1,0.71,4,1.3,5
10975,1,0.08,5,1.02,4
46732,1,0.06,6,1.02,4
4970,1,0.2,4,0.26,5
5716,1,0.83,3,1.71,4
21126,1,0.09,4,0.76,5
38761,1,0.2,4,0.26,5
44472,1,1.02,4,1.61,5
44851,1,0.72,3,1.61,4
9931,1,0.71,4,1.61,5
41484,1,0.02,4,0.15,5
41480,1,0.09,4,0.45,5
11063,1,0.71,4,1.61,5
27387,1,0.71,4,1.3,5
38300,1,0.41,4,0.51,5
36058,1,0.83,3,1.71,4
40931,1,0.28,6,0.34,3
23155,1,0.53,4,1.12,5
28858,1,0.83,3,0.88,4
14634,1,0.71,4,1.3,5
882,1,0.66,4,1.17,5
30897,1,0.23,3,1.32,4
28033,1,0.83,3,0.88,4
45769,1,1.02,4,1.92,5
15240,1,0.21,4,0.59,5
27000,1,0.32,5,0.72,3
11546,1,0.18,5,1.02,4
19135,1,0.72,3,1.61,4
33353,1,0.72,3,1.61,4
30124,1,1.02,4,1.61,5
13486,1,0.09,14,0.09000000357627869,14
33396,1,1.02,4,1.61,5
11739,1,0.02,4,0.15,5
23778,1,0.43,6,0.83,3
30906,1,0.1,6,0.72,3
28767,1,0.52,4,1.3,5
44131,1,0.28,4,0.65,5
17634,1,0.53,4,1.42,5
12973,1,1.02,4,1.92,5
10485,1,1.15,3,2.04,4
13542,1,0.55,5,0.92,6
40130,1,0.24,6,0.54,7
17120,1,0.09,14,0.09000000357627869,14
16230,1,1.02,4,1.92,5
7141,1,0.71,4,1.3,5
36141,1,0.33,6,0.83,3
30227,1,0.54,5,0.83,6
21442,1,0.71,4,1.61,5
40388,1,0.14,6,1.39,4
46483,1,0.1,6,0.34,7
20020,1,0.09,4,0.39,5
26741,1,0.21,5,0.35,6
41232,1,0.57,5,0.86,6
6690,1,0.72,3,0.78,4
3417,1,0.71,4,1.3,5
8094,1,0.72,3,1.61,4
2692,1,0.2,4,0.26,5
37696,1,0.09,4,0.76,5
6355,1,0.05,14,0.05000000074505806,14
45188,1,0.18,5,0.35,6
42132,1,0.71,4,1.3,5
18636,1,0.53,4,1.12,5
18564,1,0.71,4,1.61,5
43315,1,0.94,4,1.24,5
6623,1,0.53,4,1.11,5
39250,1,0.83,3,1.71,4
43364,1,0.71,4,1.61,5
45899,1,0.82,4,0.88,5
3676,1,0.2,4,0.26,5
2178,1,0.0,6,0.02,5
20518,1,0.72,3,0.78,4
8259,1,1.02,4,1.61,5
19040,1,0.2,4,0.3,5
48176,1,0.71,4,1.3,5
37330,1,0.53,4,1.12,5
25513,1,1.02,4,1.61,5
11220,1,0.52,4,1.3,5
5505,1,0.2,4,0.26,5
40225,1,0.09,4,0.76,5
3879,1,0.83,3,1.23,4
31981,1,1.02,4,1.92,5
19400,1,0.71,4,1.3,5
48021,1,0.71,4,1.61,5
38974,1,0.3,4,0.36,5
7656,1,0.71,4,1.3,5
39508,1,1.02,4,1.92,5
14019,1,0.2,4,0.26,5
178,1,1.02,4,1.92,5
36528,1,0.09,4,0.45,5
25268,1,0.53,4,1.42,5
22669,1,0.2,4,0.26,5
25042,1,0.09,4,0.45,5
