index,class,xaiprob_initial,len_xai_initial,xaiprob_final,len_xai_final
2390,0,-4.02,3,-4.93,4
6033,0,-4.02,3,-4.93,4
1935,0,-0.52,2,-5.32,3
2867,0,-1.29,5,-1.42,5
6212,0,-4.02,3,-5.1,4
5190,0,-4.02,3,-4.9,4
375,0,-4.02,3,-5.1,4
5134,0,-4.02,3,-5.1,4
5356,0,-4.02,3,-4.9,4
6947,0,-4.02,3,-4.93,4
7352,0,-4.02,3,-4.32,4
2685,0,-4.02,3,-4.93,4
4001,0,-4.02,3,-5.1,4
6926,0,-4.02,3,-5.1,4
6609,0,-1.29,5,-1.42,5
157,0,-0.16,5,-0.26,6
6088,0,-4.02,3,-4.32,4
5717,0,-0.52,2,-5.32,3
3127,0,-0.04,5,-0.48,5
7201,0,-0.52,2,-0.59,2
4150,0,-4.02,3,-4.9,4
4412,0,-4.02,3,-4.9,4
3263,0,-4.02,3,-5.1,4
5738,0,-4.02,3,-5.1,4
2574,0,-4.02,3,-4.32,4
2507,0,-1.29,5,-1.42,5
3403,0,-4.02,3,-5.1,4
4342,0,-0.52,2,-5.32,3
2109,0,-4.02,3,-4.32,4
4216,0,-4.02,3,-4.9,4
745,0,-4.02,3,-4.9,4
6654,0,-0.52,2,-5.32,3
6949,0,-0.52,2,-5.32,3
1740,0,-4.02,3,-5.1,4
2980,0,-1.29,5,-1.56,6
7452,0,-4.02,3,-4.32,4
163,0,-0.52,2,-5.32,3
5587,0,-4.02,3,-4.9,4
1012,0,-4.02,3,-5.1,4
6731,0,-4.02,3,-5.1,4
42,0,-0.52,2,-5.32,3
6027,0,-4.02,3,-4.9,4
406,0,-0.52,2,-5.32,3
7517,0,-4.02,3,-4.32,4
1623,0,-4.02,3,-4.9,4
4130,0,-4.02,3,-5.1,4
1380,0,-4.02,3,-5.32,4
8013,0,-4.02,3,-4.32,4
1936,0,-1.29,5,-1.56,6
3236,0,-0.37,4,-0.47,5
6852,0,-4.02,3,-5.1,4
8067,0,-4.02,3,-4.32,4
6031,0,-1.29,5,-1.56,6
1693,0,-4.02,3,-4.9,4
3250,0,-1.29,5,-1.56,6
6973,0,-4.02,3,-4.32,4
60,0,-0.48,5,-1.43,5
6164,0,-4.02,3,-5.1,4
7355,0,-4.02,3,-5.32,4
8051,0,-1.29,5,-1.42,5
2102,0,-0.52,2,-0.59,2
4313,0,-4.02,3,-4.32,4
1165,0,-0.52,2,-5.32,3
1188,0,-4.02,3,-5.32,4
6838,0,-4.02,3,-4.93,4
5031,0,-4.02,3,-4.32,4
5801,0,-4.02,3,-4.9,4
3302,0,-1.29,5,-1.42,5
3307,0,-4.02,3,-5.1,4
1311,0,-4.02,3,-4.32,4
6591,0,-0.37,4,-1.68,5
137,0,-4.02,3,-5.32,4
3595,0,-4.02,3,-5.1,4
3069,0,-0.52,2,-5.32,3
6300,0,-4.02,3,-4.32,4
8106,0,-1.29,5,-1.42,5
6022,0,-4.02,3,-4.93,4
504,0,-4.02,3,-4.9,4
5399,0,-4.02,3,-4.32,4
3389,0,-4.02,3,-4.9,4
1862,0,-0.04,5,-0.48,5
498,0,-4.02,3,-5.32,4
6866,0,-4.02,3,-4.32,4
1891,0,-4.02,3,-5.1,4
887,0,-4.02,3,-5.32,4
1172,0,-4.02,3,-4.32,4
6366,0,-4.02,3,-4.32,4
6353,0,-4.02,3,-4.32,4
7589,0,-4.02,3,-5.32,4
2283,0,-0.37,4,-1.68,5
7839,0,-4.02,3,-5.1,4
7666,0,-4.02,3,-4.32,4
5395,0,-4.02,3,-4.32,4
7212,0,-4.02,3,-4.32,4
2213,0,-0.31,3,-1.27,4
6827,0,-4.02,3,-4.32,4
5999,0,-4.02,3,-5.1,4
7992,0,-0.52,2,-5.32,3
5063,0,-4.02,3,-4.32,4
1564,0,-0.52,2,-5.32,3
